filename,call_id,scenario,model,denoised,duration_sec,inference_sec,rtf,wer,cer,hypothesis,reference,expected_intent,expected_flags
SYNTH-0001-BILLING_DISPUTE.mp3,SYNTH-0001-BILLING_DISPUTE,billing_dispute,base,True,45.82,16.38,0.3575,0.1062,0.0532,"Agent, thank you for calling customer support. How can I help you today? Customer high. I need to talk about my bill. I was charged twice for the same month, and I need this fixed immediately. Agent, ","Agent: Thank you for calling customer support, how can I help you today? Customer: Hi, I need to talk about my bill. I was charged twice for the same month and I need this fixed immediately. Agent: I ",billing_dispute,MISSING_DISCLOSURE
SYNTH-0002-BILLING_DISPUTE_COMPLIANT.mp3,SYNTH-0002-BILLING_DISPUTE_COMPLIANT,billing_dispute_compliant,base,True,49.18,16.43,0.3342,0.0894,0.0924,"Agent, thank you for calling support. Please note this call may be recorded for quality and training purposes. How can I help you today? Customer, hello. I have a billing problem. There is a charge I ",Agent: Thank you for calling support. Please note this call may be recorded for quality and training purposes. How can I help you today? Customer: Hello. I have a billing problem. There is a charge I ,billing_dispute,
SYNTH-0003-REFUND_REQUEST.mp3,SYNTH-0003-REFUND_REQUEST,refund_request,base,True,34.78,12.2,0.3508,0.0897,0.0272,"Agent Hello, how can I assist you? Customer I want a refund for the product I bought last week. It stopped working after two days. Agent I completely understand. I can guarantee you will get your mone",Agent: Hello how can I assist you? Customer: I want a refund for the product I bought last week. It stopped working after two days. Agent: I completely understand. I can guarantee you will get your mo,refund_request,MISSING_DISCLOSURE|PROHIBITED_LANGUAGE
SYNTH-0004-REFUND_REQUEST_COMPLIANT.mp3,SYNTH-0004-REFUND_REQUEST_COMPLIANT,refund_request_compliant,base,True,50.95,11.59,0.2275,0.113,0.1104,"Agent, thank you for calling. This call may be recorded for quality purposes. How can I help you today? Customer I purchased a product online five days ago and it is defective. I want a full refund. A",Agent: Thank you for calling. This call may be recorded for quality purposes. How can I help you today? Customer: I purchased a product online five days ago and it is defective. I want a full refund. ,refund_request,
SYNTH-0005-TECH_SUPPORT.mp3,SYNTH-0005-TECH_SUPPORT,tech_support,base,True,52.56,12.7,0.2416,0.065,0.0539,"Agent support line. How can I help? Customer my internet connection keeps dropping every few minutes. It has been happening since yesterday. Agent, I am sorry to hear that. Let me run a remote diagnos","Agent: Support line, how can I help? Customer: My internet connection keeps dropping every few minutes. It has been happening since yesterday. Agent: I am sorry to hear that. Let me run a remote diagn",technical_support,MISSING_DISCLOSURE
SYNTH-0006-TECH_SUPPORT_ESCALATION.mp3,SYNTH-0006-TECH_SUPPORT_ESCALATION,tech_support_escalation,base,True,45.12,11.33,0.2511,0.0091,0.0053,"Agent, thank you for calling. How can I help? Customer I have called three times about the same problem and nobody has fixed it. I want to speak to a manager right now. Agent, I understand you are fru","Agent: Thank you for calling, how can I help? Customer: I have called three times about the same problem and nobody has fixed it. I want to speak to a manager right now. Agent: I understand you are fr",escalation_request,MISSING_DISCLOSURE|PROHIBITED_LANGUAGE
SYNTH-0007-CANCELLATION.mp3,SYNTH-0007-CANCELLATION,cancellation,base,True,54.46,14.12,0.2593,0.0076,0.0057,"Agent customer service. How can I help you? Customer I would like to cancel my subscription, please. Agent, I am sorry to hear you want to leave. Can I ask what the reason is? Customer I am moving abr","Agent: Customer service, how can I help you? Customer: I would like to cancel my subscription please. Agent: I am sorry to hear you want to leave. Can I ask what the reason is? Customer: I am moving a",account_cancellation,MISSING_DISCLOSURE
SYNTH-0008-PAYMENT_ISSUE.mp3,SYNTH-0008-PAYMENT_ISSUE,payment_issue,base,True,44.33,10.16,0.2291,0.2,0.1848,"Agent Hello. How can I assist you today? Customer My Payment is not going through. I tried three times and it keeps declining. Agent, I can help with that. Can you read me your card number? Customer S","Agent: Hello, how can I assist you today? Customer: My payment is not going through. I tried three times and it keeps declining. Agent: I can help with that. Can you read me your card number? Customer",payment_issue,MISSING_DISCLOSURE|PII_DETECTED
SYNTH-0009-PAYMENT_ISSUE_COMPLIANT.mp3,SYNTH-0009-PAYMENT_ISSUE_COMPLIANT,payment_issue_compliant,base,True,55.18,12.62,0.2287,0.0472,0.0322,"Agent, thank you for calling. This call may be recorded for quality and training purposes. How can I help you today? Customer my payment keeps failing. I need to update my billing details. Agent, I ca",Agent: Thank you for calling. This call may be recorded for quality and training purposes. How can I help you today? Customer: My payment keeps failing. I need to update my billing details. Agent: I c,payment_issue,
SYNTH-0010-GENERAL_INQUIRY.mp3,SYNTH-0010-GENERAL_INQUIRY,general_inquiry,base,True,53.62,13.01,0.2427,0.2066,0.2246,"Agent, thank you for calling. This call may be recorded. How can I help you today? Customer, I just wanted to know what plans you currently offer. Agent, of course. We have three main plans. The basic",Agent: Thank you for calling. This call may be recorded. How can I help you today? Customer: I just wanted to know what plans you currently offer. Agent: Of course. We have three main plans. The basic,general_inquiry,
SYNTH-0011-COMPLAINT.mp3,SYNTH-0011-COMPLAINT,complaint,base,True,61.7,19.5,0.316,0.0479,0.0435,Agent customer support. How can I help? Customer I want to make a formal complaint. Your agent last week was extremely rude to me. Agent I sincerely apologize for that experience. Can you tell me more,"Agent: Customer support, how can I help? Customer: I want to make a formal complaint. Your agent last week was extremely rude to me. Agent: I sincerely apologize for that experience. Can you tell me m",complaint,MISSING_DISCLOSURE
